kota_administrasi,kecamatan,kelurahan,rw,tgl_kejadian,bulan_kejadian,rainFall_mm,rainDuration_minutes,ketinggian_air_min_cm,ketinggian_air_max_cm,waktu_kejadian
Jakarta Pusat,Gambir,Kebon Kelapa,12,2024-09-02,September,65.3,31,4,4,11:12
Jakarta Pusat,Gambir,Kebon Kelapa,13,2024-10-06,Oktober,46.9,231,41,61,04:52
Jakarta Pusat,Gambir,Kebon Kelapa,08,2024-10-24,Oktober,73.7,205,37,52,19:49
Jakarta Pusat,Gambir,Kebon Kelapa,13,2024-11-20,November,163.7,119,31,124,10:08
Jakarta Pusat,Gambir,Kebon Kelapa,14,2024-11-20,November,167.8,114,22,133,23:52
Jakarta Pusat,Gambir,Kebon Kelapa,11,2024-12-21,Desember,160.9,52,29,47,08:26
Jakarta Pusat,Gambir,Kebon Kelapa,12,2024-12-24,Desember,165.9,86,30,64,09:11
Jakarta Pusat,Gambir,Petojo Selatan,01,2024-01-21,Januari,152.7,67,35,91,00:11
Jakarta Pusat,Gambir,Petojo Selatan,14,2024-01-22,Januari,119.3,58,32,68,13:28
Jakarta Pusat,Gambir,Petojo Selatan,14,2024-02-12,Februari,79.8,139,16,128,16:08
Jakarta Pusat,Gambir,Petojo Selatan,01,2024-02-16,Februari,60.5,122,18,133,10:44
Jakarta Pusat,Gambir,Petojo Selatan,03,2024-03-05,Maret,102.2,207,28,49,05:25
Jakarta Pusat,Gambir,Petojo Selatan,10,2024-03-20,Maret,86.9,219,16,32,02:15
Jakarta Pusat,Gambir,Petojo Selatan,02,2024-04-13,April,5.2,9,1,16,10:10
Jakarta Pusat,Gambir,Petojo Selatan,03,2024-05-08,Mei,29.1,42,4,14,12:31
Jakarta Pusat,Gambir,Petojo Selatan,05,2024-06-08,Juni,25.1,16,1,16,08:11
Jakarta Pusat,Gambir,Petojo Selatan,08,2024-07-22,Juli,13.7,18,5,42,04:46
Jakarta Pusat,Gambir,Petojo Selatan,05,2024-08-19,Agustus,24.2,2,4,23,01:25
Jakarta Pusat,Gambir,Petojo Selatan,09,2024-09-02,September,52.1,13,12,46,03:21
Jakarta Pusat,Gambir,Petojo Selatan,12,2024-10-25,Oktober,170.3,123,13,128,07:13
Jakarta Pusat,Gambir,Petojo Selatan,04,2024-10-12,Oktober,137.1,112,19,120,21:40
Jakarta Pusat,Gambir,Petojo Selatan,05,2024-11-12,November,127.8,243,47,50,03:13
Jakarta Pusat,Gambir,Petojo Selatan,12,2024-11-27,November,95.8,239,46,56,03:13
Jakarta Pusat,Gambir,Petojo Selatan,07,2024-12-21,Desember,103.9,139,21,70,14:27
Jakarta Pusat,Gambir,Petojo Selatan,13,2024-12-24,Desember,110.9,148,28,71,10:26
Jakarta Pusat,Gambir,Duri Pulo,15,2024-01-24,Januari,155.1,190,23,81,14:33
Jakarta Pusat,Gambir,Duri Pulo,08,2024-01-08,Januari,125.4,174,35,102,17:50
Jakarta Pusat,Gambir,Duri Pulo,06,2024-02-03,Februari,117.9,161,31,45,19:30
Jakarta Pusat,Gambir,Duri Pulo,05,2024-02-22,Februari,135.7,152,45,63,14:21
Jakarta Pusat,Gambir,Duri Pulo,09,2024-03-20,Maret,157.7,250,23,131,20:50
Jakarta Pusat,Gambir,Duri Pulo,06,2024-03-24,Maret,172.6,220,24,104,14:02
Jakarta Pusat,Gambir,Duri Pulo,03,2024-04-22,April,13.3,33,4,14,12:03
Jakarta Pusat,Gambir,Duri Pulo,13,2024-05-15,Mei,4.6,4,10,22,02:57
Jakarta Pusat,Gambir,Duri Pulo,05,2024-06-22,Juni,0.7,30,5,15,00:10
Jakarta Pusat,Gambir,Duri Pulo,01,2024-07-22,Juli,13.1,58,6,24,22:57
Jakarta Pusat,Gambir,Duri Pulo,15,2024-08-17,Agustus,50.1,3,3,21,17:47
Jakarta Pusat,Gambir,Duri Pulo,15,2024-09-09,September,55.4,27,3,18,14:47
Jakarta Pusat,Gambir,Duri Pulo,05,2024-10-24,Oktober,110.8,150,29,99,09:57
Jakarta Pusat,Gambir,Duri Pulo,06,2024-10-20,Oktober,92.3,152,23,93,12:06
Jakarta Pusat,Gambir,Duri Pulo,10,2024-11-03,November,67.2,180,27,84,13:40
Jakarta Pusat,Gambir,Duri Pulo,15,2024-11-20,November,60.8,158,26,87,19:05
Jakarta Pusat,Gambir,Duri Pulo,05,2024-12-09,Desember,42.7,195,10,85,16:27
Jakarta Pusat,Gambir,Duri Pulo,10,2024-12-14,Desember,66.0,173,9,93,16:05
Jakarta Pusat,Gambir,Cideng,10,2024-01-14,Januari,161.8,246,17,109,23:10
Jakarta Pusat,Gambir,Cideng,09,2024-01-01,Januari,134.1,223,20,124,04:57
Jakarta Pusat,Gambir,Cideng,02,2024-02-28,Februari,176.8,119,41,91,08:59
Jakarta Pusat,Gambir,Cideng,04,2024-02-12,Februari,156.3,126,26,107,03:49
Jakarta Pusat,Gambir,Cideng,06,2024-03-25,Maret,59.7,67,33,66,17:47
Jakarta Pusat,Gambir,Cideng,12,2024-03-27,Maret,53.3,49,50,84,22:54
Jakarta Pusat,Gambir,Cideng,14,2024-04-23,April,18.1,44,10,17,03:14
Jakarta Pusat,Gambir,Cideng,12,2024-05-01,Mei,72.3,66,6,33,13:29
Jakarta Pusat,Gambir,Cideng,09,2024-06-02,Juni,9.8,13,4,6,08:44
Jakarta Pusat,Gambir,Cideng,15,2024-07-26,Juli,38.1,7,1,33,01:56
Jakarta Pusat,Gambir,Cideng,13,2024-08-02,Agustus,54.3,43,1,45,20:37
Jakarta Pusat,Gambir,Cideng,09,2024-09-06,September,43.2,68,4,36,18:31
Jakarta Pusat,Gambir,Cideng,04,2024-10-26,Oktober,72.3,170,34,108,01:46
Jakarta Pusat,Gambir,Cideng,11,2024-10-19,Oktober,48.5,171,25,106,21:51
Jakarta Pusat,Gambir,Cideng,14,2024-11-02,November,63.2,222,33,96,05:17
Jakarta Pusat,Gambir,Cideng,13,2024-11-05,November,86.1,225,45,68,15:20
Jakarta Pusat,Gambir,Cideng,06,2024-12-20,Desember,193.9,221,40,114,12:54
Jakarta Pusat,Gambir,Cideng,03,2024-12-27,Desember,201.2,223,31,99,17:32
Jakarta Pusat,Gambir,Petojo Utara,10,2024-01-19,Januari,149.9,189,33,91,23:28
Jakarta Pusat,Gambir,Petojo Utara,15,2024-01-24,Januari,148.0,186,44,83,05:52
Jakarta Pusat,Gambir,Petojo Utara,02,2024-02-05,Februari,120.4,83,18,81,14:28
Jakarta Pusat,Gambir,Petojo Utara,03,2024-02-26,Februari,153.9,59,20,95,00:21
Jakarta Pusat,Gambir,Petojo Utara,07,2024-03-05,Maret,119.1,153,23,73,14:16
Jakarta Pusat,Gambir,Petojo Utara,06,2024-03-19,Maret,101.0,167,26,65,10:32
Jakarta Pusat,Gambir,Petojo Utara,10,2024-04-20,April,5.8,16,8,19,02:38
Jakarta Pusat,Gambir,Petojo Utara,06,2024-05-08,Mei,24.6,18,3,7,20:11
Jakarta Pusat,Gambir,Petojo Utara,05,2024-06-01,Juni,41.3,61,7,22,15:01
Jakarta Pusat,Gambir,Petojo Utara,09,2024-07-01,Juli,39.0,58,5,28,04:39
Jakarta Pusat,Gambir,Petojo Utara,07,2024-08-03,Agustus,20.6,71,7,41,09:28
Jakarta Pusat,Gambir,Petojo Utara,06,2024-09-10,September,62.8,36,8,15,07:26
Jakarta Pusat,Gambir,Petojo Utara,03,2024-10-14,Oktober,178.4,204,18,117,03:46
Jakarta Pusat,Gambir,Petojo Utara,07,2024-10-17,Oktober,188.2,181,33,96,07:07
Jakarta Pusat,Gambir,Petojo Utara,11,2024-11-08,November,96.0,186,22,104,08:59
Jakarta Pusat,Gambir,Petojo Utara,11,2024-11-24,November,95.8,216,17,103,05:06
Jakarta Pusat,Gambir,Petojo Utara,13,2024-12-09,Desember,95.3,178,33,90,10:43
Jakarta Pusat,Gambir,Petojo Utara,15,2024-12-20,Desember,107.4,159,40,65,10:58
Jakarta Pusat,Tanah Abang,Bendungan Hilir,06,2024-01-12,Januari,147.8,148,19,107,15:42
Jakarta Pusat,Tanah Abang,Bendungan Hilir,08,2024-01-06,Januari,112.0,137,14,126,15:19
Jakarta Pusat,Tanah Abang,Bendungan Hilir,07,2024-02-23,Februari,95.7,132,27,117,08:27
Jakarta Pusat,Tanah Abang,Bendungan Hilir,13,2024-02-16,Februari,108.1,153,38,122,20:12
Jakarta Pusat,Tanah Abang,Bendungan Hilir,08,2024-03-16,Maret,175.8,150,40,47,17:07
Jakarta Pusat,Tanah Abang,Bendungan Hilir,05,2024-03-21,Maret,156.6,150,48,55,21:26
Jakarta Pusat,Tanah Abang,Bendungan Hilir,15,2024-04-22,April,1.5,25,1,40,16:53
Jakarta Pusat,Tanah Abang,Bendungan Hilir,03,2024-05-25,Mei,20.0,34,7,39,03:51
Jakarta Pusat,Tanah Abang,Bendungan Hilir,11,2024-06-22,Juni,49.5,34,2,44,13:24
Jakarta Pusat,Tanah Abang,Bendungan Hilir,01,2024-07-19,Juli,58.8,23,4,21,21:22
Jakarta Pusat,Tanah Abang,Bendungan Hilir,05,2024-08-20,Agustus,53.7,24,1,27,20:54
Jakarta Pusat,Tanah Abang,Bendungan Hilir,06,2024-09-10,September,66.4,45,4,22,00:21
Jakarta Pusat,Tanah Abang,Bendungan Hilir,05,2024-10-13,Oktober,107.8,150,20,87,11:49
Jakarta Pusat,Tanah Abang,Bendungan Hilir,05,2024-10-23,Oktober,121.3,162,22,100,21:00
Jakarta Pusat,Tanah Abang,Bendungan Hilir,11,2024-11-23,November,142.6,90,29,79,22:42
Jakarta Pusat,Tanah Abang,Bendungan Hilir,07,2024-11-16,November,148.9,101,37,78,01:15
Jakarta Pusat,Tanah Abang,Bendungan Hilir,03,2024-12-25,Desember,137.3,230,10,67,11:42
Jakarta Pusat,Tanah Abang,Bendungan Hilir,08,2024-12-20,Desember,126.1,220,3,52,11:17
Jakarta Pusat,Tanah Abang,Karet Tengsin,06,2024-01-08,Januari,90.3,124,14,59,09:46
Jakarta Pusat,Tanah Abang,Karet Tengsin,08,2024-01-14,Januari,98.8,119,16,87,03:47
Jakarta Pusat,Tanah Abang,Karet Tengsin,10,2024-02-18,Februari,85.5,119,18,46,14:54
Jakarta Pusat,Tanah Abang,Karet Tengsin,03,2024-02-02,Februari,104.4,114,19,60,15:42
Jakarta Pusat,Tanah Abang,Karet Tengsin,07,2024-03-16,Maret,182.2,214,36,109,14:12
Jakarta Pusat,Tanah Abang,Karet Tengsin,13,2024-03-23,Maret,172.1,216,30,110,07:33
Jakarta Pusat,Tanah Abang,Karet Tengsin,03,2024-04-12,April,10.2,34,2,13,19:17
Jakarta Pusat,Tanah Abang,Karet Tengsin,11,2024-05-01,Mei,30.4,28,1,37,12:29
Jakarta Pusat,Tanah Abang,Karet Tengsin,01,2024-06-18,Juni,38.1,55,7,38,15:01
Jakarta Pusat,Tanah Abang,Karet Tengsin,03,2024-07-22,Juli,52.3,58,5,6,12:58
Jakarta Pusat,Tanah Abang,Karet Tengsin,14,2024-08-07,Agustus,50.1,74,10,36,03:42
Jakarta Pusat,Tanah Abang,Karet Tengsin,11,2024-09-16,September,15.7,23,4,35,18:58
Jakarta Pusat,Tanah Abang,Karet Tengsin,07,2024-10-19,Oktober,142.1,105,16,103,13:58
Jakarta Pusat,Tanah Abang,Karet Tengsin,15,2024-10-25,Oktober,128.6,90,15,92,21:58
Jakarta Pusat,Tanah Abang,Karet Tengsin,04,2024-11-22,November,108.4,131,11,72,15:07
Jakarta Pusat,Tanah Abang,Karet Tengsin,05,2024-11-16,November,102.6,134,17,56,20:51
Jakarta Pusat,Tanah Abang,Karet Tengsin,01,2024-12-07,Desember,78.7,162,27,101,01:19
Jakarta Pusat,Tanah Abang,Karet Tengsin,05,2024-12-19,Desember,75.2,164,36,128,09:15
Jakarta Pusat,Tanah Abang,Kebon Melati,07,2024-01-28,Januari,168.6,159,41,93,00:47
Jakarta Pusat,Tanah Abang,Kebon Melati,05,2024-01-27,Januari,176.5,191,34,106,00:56
Jakarta Pusat,Tanah Abang,Kebon Melati,02,2024-02-03,Februari,180.1,183,17,109,23:13
Jakarta Pusat,Tanah Abang,Kebon Melati,08,2024-02-13,Februari,172.3,205,29,133,10:27
Jakarta Pusat,Tanah Abang,Kebon Melati,11,2024-03-16,Maret,167.0,85,27,91,11:27
Jakarta Pusat,Tanah Abang,Kebon Melati,10,2024-03-06,Maret,150.0,59,31,99,19:41
Jakarta Pusat,Tanah Abang,Kebon Melati,04,2024-04-23,April,37.7,17,4,42,08:37
Jakarta Pusat,Tanah Abang,Kebon Melati,06,2024-05-15,Mei,11.9,53,0,29,01:19
Jakarta Pusat,Tanah Abang,Kebon Melati,03,2024-06-18,Juni,22.6,55,0,22,09:43
Jakarta Pusat,Tanah Abang,Kebon Melati,11,2024-07-26,Juli,23.9,24,10,36,21:28
Jakarta Pusat,Tanah Abang,Kebon Melati,08,2024-08-28,Agustus,6.2,16,4,25,11:54
Jakarta Pusat,Tanah Abang,Kebon Melati,07,2024-09-20,September,30.3,32,6,18,13:08
Jakarta Pusat,Tanah Abang,Kebon Melati,07,2024-10-09,Oktober,52.5,161,29,118,10:18
Jakarta Pusat,Tanah Abang,Kebon Melati,05,2024-10-16,Oktober,68.8,186,28,106,09:44
Jakarta Pusat,Tanah Abang,Kebon Melati,09,2024-11-25,November,167.0,131,29,113,16:18
Jakarta Pusat,Tanah Abang,Kebon Melati,01,2024-11-28,November,136.0,122,41,120,12:30
Jakarta Pusat,Tanah Abang,Kebon Melati,13,2024-12-01,Desember,158.4,92,19,87,18:43
Jakarta Pusat,Tanah Abang,Kebon Melati,05,2024-12-15,Desember,154.3,89,34,77,16:15
Jakarta Pusat,Tanah Abang,Kebon Kacang,07,2024-01-21,Januari,188.1,151,8,54,08:44
Jakarta Pusat,Tanah Abang,Kebon Kacang,10,2024-01-17,Januari,178.4,144,5,36,21:36
Jakarta Pusat,Tanah Abang,Kebon Kacang,04,2024-02-15,Februari,167.0,136,25,57,09:40
Jakarta Pusat,Tanah Abang,Kebon Kacang,05,2024-02-26,Februari,161.1,137,21,61,13:36
Jakarta Pusat,Tanah Abang,Kebon Kacang,07,2024-03-14,Maret,150.6,237,35,57,01:28
Jakarta Pusat,Tanah Abang,Kebon Kacang,05,2024-03-02,Maret,161.1,220,42,47,17:30
Jakarta Pusat,Tanah Abang,Kebon Kacang,13,2024-04-18,April,71.6,2,1,32,13:50
Jakarta Pusat,Tanah Abang,Kebon Kacang,01,2024-05-06,Mei,53.4,32,11,24,04:42
Jakarta Pusat,Tanah Abang,Kebon Kacang,04,2024-06-09,Juni,19.1,25,10,23,08:15
Jakarta Pusat,Tanah Abang,Kebon Kacang,13,2024-07-01,Juli,48.0,24,1,27,15:52
Jakarta Pusat,Tanah Abang,Kebon Kacang,06,2024-08-15,Agustus,29.7,37,8,25,07:25
Jakarta Pusat,Tanah Abang,Kebon Kacang,06,2024-09-25,September,42.2,33,10,29,08:15
Jakarta Pusat,Tanah Abang,Kebon Kacang,13,2024-10-07,Oktober,123.6,96,17,114,07:41
Jakarta Pusat,Tanah Abang,Kebon Kacang,13,2024-10-20,Oktober,133.7,128,6,114,19:11
Jakarta Pusat,Tanah Abang,Kebon Kacang,10,2024-11-18,November,153.6,86,18,94,18:50
Jakarta Pusat,Tanah Abang,Kebon Kacang,12,2024-11-21,November,155.3,68,16,105,19:25
Jakarta Pusat,Tanah Abang,Kebon Kacang,14,2024-12-21,Desember,47.6,105,36,58,13:22
Jakarta Pusat,Tanah Abang,Kebon Kacang,07,2024-12-23,Desember,49.4,109,18,72,00:15
Jakarta Pusat,Tanah Abang,Kampung Bali,03,2024-01-27,Januari,171.8,169,8,89,07:34
Jakarta Pusat,Tanah Abang,Kampung Bali,03,2024-01-11,Januari,195.6,158,7,81,22:02
Jakarta Pusat,Tanah Abang,Kampung Bali,07,2024-02-07,Februari,133.8,85,18,76,01:12
Jakarta Pusat,Tanah Abang,Kampung Bali,06,2024-02-05,Februari,118.3,79,21,58,16:48
Jakarta Pusat,Tanah Abang,Kampung Bali,15,2024-03-16,Maret,77.8,77,11,41,10:54
Jakarta Pusat,Tanah Abang,Kampung Bali,13,2024-03-10,Maret,58.8,91,12,60,12:54
Jakarta Pusat,Tanah Abang,Kampung Bali,15,2024-04-25,April,14.7,16,3,15,06:39
Jakarta Pusat,Tanah Abang,Kampung Bali,08,2024-05-06,Mei,19.7,46,4,30,03:50
Jakarta Pusat,Tanah Abang,Kampung Bali,12,2024-06-25,Juni,25.4,8,2,28,20:37
Jakarta Pusat,Tanah Abang,Kampung Bali,07,2024-07-05,Juli,54.6,29,9,9,16:02
Jakarta Pusat,Tanah Abang,Kampung Bali,12,2024-08-06,Agustus,67.9,29,13,20,23:33
Jakarta Pusat,Tanah Abang,Kampung Bali,11,2024-09-03,September,13.7,50,4,31,21:18
Jakarta Pusat,Tanah Abang,Kampung Bali,15,2024-10-04,Oktober,165.4,211,29,39,08:12
Jakarta Pusat,Tanah Abang,Kampung Bali,04,2024-10-19,Oktober,173.0,210,23,50,06:06
Jakarta Pusat,Tanah Abang,Kampung Bali,09,2024-11-04,November,70.6,205,28,78,05:10
Jakarta Pusat,Tanah Abang,Kampung Bali,09,2024-11-26,November,38.8,175,28,78,00:43
Jakarta Pusat,Tanah Abang,Kampung Bali,04,2024-12-25,Desember,128.1,167,4,74,01:48
Jakarta Pusat,Tanah Abang,Kampung Bali,03,2024-12-07,Desember,130.8,147,2,80,14:32
Jakarta Pusat,Tanah Abang,Petamburan,03,2024-01-11,Januari,152.4,241,10,86,04:53
Jakarta Pusat,Tanah Abang,Petamburan,14,2024-01-08,Januari,153.0,208,10,97,20:22
Jakarta Pusat,Tanah Abang,Petamburan,05,2024-02-20,Februari,46.6,112,20,116,11:12
Jakarta Pusat,Tanah Abang,Petamburan,09,2024-02-03,Februari,54.2,130,25,100,01:26
Jakarta Pusat,Tanah Abang,Petamburan,04,2024-03-02,Maret,164.5,208,41,111,04:44
Jakarta Pusat,Tanah Abang,Petamburan,09,2024-03-08,Maret,167.6,196,35,115,09:21
Jakarta Pusat,Tanah Abang,Petamburan,05,2024-04-08,April,47.3,61,6,31,21:54
Jakarta Pusat,Tanah Abang,Petamburan,06,2024-05-15,Mei,42.0,6,5,35,23:20
Jakarta Pusat,Tanah Abang,Petamburan,02,2024-06-09,Juni,44.1,42,6,10,11:53
Jakarta Pusat,Tanah Abang,Petamburan,10,2024-07-15,Juli,24.0,39,7,34,17:19
Jakarta Pusat,Tanah Abang,Petamburan,02,2024-08-13,Agustus,6.0,28,5,39,05:25
Jakarta Pusat,Tanah Abang,Petamburan,05,2024-09-22,September,30.2,1,8,33,02:07
Jakarta Pusat,Tanah Abang,Petamburan,01,2024-10-06,Oktober,41.4,162,19,108,14:33
Jakarta Pusat,Tanah Abang,Petamburan,09,2024-10-20,Oktober,56.9,143,11,92,07:46
Jakarta Pusat,Tanah Abang,Petamburan,11,2024-11-15,November,75.0,177,19,59,19:44
Jakarta Pusat,Tanah Abang,Petamburan,10,2024-11-25,November,79.6,185,19,63,22:04
Jakarta Pusat,Tanah Abang,Petamburan,04,2024-12-15,Desember,162.6,89,42,128,15:45
Jakarta Pusat,Tanah Abang,Petamburan,07,2024-12-11,Desember,164.7,80,37,108,18:22
Jakarta Pusat,Tanah Abang,Gelora,15,2024-01-18,Januari,130.9,197,40,88,04:23
Jakarta Pusat,Tanah Abang,Gelora,07,2024-01-15,Januari,97.2,205,26,75,17:29
Jakarta Pusat,Tanah Abang,Gelora,12,2024-02-17,Februari,139.9,227,22,69,00:52
Jakarta Pusat,Tanah Abang,Gelora,12,2024-02-26,Februari,119.4,241,38,81,18:35
Jakarta Pusat,Tanah Abang,Gelora,15,2024-03-12,Maret,149.3,136,43,102,11:18
Jakarta Pusat,Tanah Abang,Gelora,14,2024-03-12,Maret,151.0,113,41,113,00:13
Jakarta Pusat,Tanah Abang,Gelora,07,2024-04-01,April,25.1,58,4,16,04:15
Jakarta Pusat,Tanah Abang,Gelora,03,2024-05-28,Mei,47.8,54,1,23,03:02
Jakarta Pusat,Tanah Abang,Gelora,13,2024-06-06,Juni,24.7,59,11,39,20:04
Jakarta Pusat,Tanah Abang,Gelora,07,2024-07-04,Juli,48.7,34,7,17,12:32
Jakarta Pusat,Tanah Abang,Gelora,01,2024-08-12,Agustus,54.8,67,4,21,04:55
Jakarta Pusat,Tanah Abang,Gelora,06,2024-09-22,September,66.4,56,5,20,15:33
Jakarta Pusat,Tanah Abang,Gelora,09,2024-10-04,Oktober,158.7,113,28,135,12:38
Jakarta Pusat,Tanah Abang,Gelora,15,2024-10-27,Oktober,152.3,92,12,116,22:05
Jakarta Pusat,Tanah Abang,Gelora,09,2024-11-17,November,78.9,170,33,114,13:33
Jakarta Pusat,Tanah Abang,Gelora,13,2024-11-14,November,70.3,161,30,133,16:22
Jakarta Pusat,Tanah Abang,Gelora,12,2024-12-18,Desember,121.4,151,42,47,01:48
Jakarta Pusat,Tanah Abang,Gelora,10,2024-12-17,Desember,145.5,140,39,49,15:20
Jakarta Pusat,Menteng,Menteng,10,2024-01-08,Januari,125.8,79,32,113,16:08
Jakarta Pusat,Menteng,Menteng,12,2024-01-21,Januari,119.3,88,36,127,23:34
Jakarta Pusat,Menteng,Menteng,12,2024-02-12,Februari,149.6,95,11,75,03:10
Jakarta Pusat,Menteng,Menteng,08,2024-02-06,Februari,143.0,118,3,74,02:11
Jakarta Pusat,Menteng,Menteng,05,2024-03-21,Maret,95.1,108,28,100,20:53
Jakarta Pusat,Menteng,Menteng,08,2024-03-20,Maret,116.0,122,17,97,03:55
Jakarta Pusat,Menteng,Menteng,04,2024-04-20,April,7.6,10,0,12,11:38
Jakarta Pusat,Menteng,Menteng,08,2024-05-10,Mei,47.3,40,2,15,03:34
Jakarta Pusat,Menteng,Menteng,11,2024-06-28,Juni,44.1,8,4,16,22:28
Jakarta Pusat,Menteng,Menteng,07,2024-07-17,Juli,52.7,25,6,39,15:59
Jakarta Pusat,Menteng,Menteng,13,2024-08-17,Agustus,38.0,28,0,25,02:31
Jakarta Pusat,Menteng,Menteng,06,2024-09-19,September,37.4,36,4,32,12:48
Jakarta Pusat,Menteng,Menteng,10,2024-10-05,Oktober,85.2,124,41,119,17:03
Jakarta Pusat,Menteng,Menteng,02,2024-10-15,Oktober,72.5,143,30,107,11:13
Jakarta Pusat,Menteng,Menteng,09,2024-11-11,November,87.4,104,36,70,02:15
Jakarta Pusat,Menteng,Menteng,09,2024-11-24,November,81.5,67,28,77,23:00
Jakarta Pusat,Menteng,Menteng,12,2024-12-05,Desember,139.5,207,28,81,11:13
Jakarta Pusat,Menteng,Menteng,07,2024-12-24,Desember,121.8,188,25,79,00:23
Jakarta Pusat,Menteng,Pegangsaan,07,2024-01-05,Januari,148.0,251,17,47,02:24
Jakarta Pusat,Menteng,Pegangsaan,13,2024-01-19,Januari,168.2,225,28,68,02:44
Jakarta Pusat,Menteng,Pegangsaan,09,2024-02-18,Februari,59.7,176,34,105,11:08
Jakarta Pusat,Menteng,Pegangsaan,01,2024-02-03,Februari,72.5,167,27,109,23:16
Jakarta Pusat,Menteng,Pegangsaan,13,2024-03-16,Maret,211.8,206,12,44,03:03
Jakarta Pusat,Menteng,Pegangsaan,06,2024-03-10,Maret,191.9,211,26,62,17:58
Jakarta Pusat,Menteng,Pegangsaan,03,2024-04-18,April,4.8,1,5,45,21:26
Jakarta Pusat,Menteng,Pegangsaan,07,2024-05-24,Mei,6.3,49,8,9,18:42
Jakarta Pusat,Menteng,Pegangsaan,01,2024-06-16,Juni,45.4,30,7,36,12:14
Jakarta Pusat,Menteng,Pegangsaan,07,2024-07-01,Juli,47.6,8,4,18,07:22
Jakarta Pusat,Menteng,Pegangsaan,04,2024-08-10,Agustus,53.7,20,2,23,14:41
Jakarta Pusat,Menteng,Pegangsaan,14,2024-09-20,September,39.4,30,5,33,23:46
Jakarta Pusat,Menteng,Pegangsaan,01,2024-10-22,Oktober,73.3,226,24,105,09:48
Jakarta Pusat,Menteng,Pegangsaan,01,2024-10-12,Oktober,44.7,227,29,103,14:06
Jakarta Pusat,Menteng,Pegangsaan,03,2024-11-24,November,150.9,102,20,59,00:31
Jakarta Pusat,Menteng,Pegangsaan,04,2024-11-19,November,134.3,92,28,58,21:18
Jakarta Pusat,Menteng,Pegangsaan,11,2024-12-27,Desember,139.3,165,19,73,19:12
Jakarta Pusat,Menteng,Pegangsaan,04,2024-12-11,Desember,131.6,164,24,86,13:20
Jakarta Pusat,Menteng,Cikini,04,2024-01-10,Januari,179.5,76,22,59,11:21
Jakarta Pusat,Menteng,Cikini,10,2024-01-23,Januari,154.5,65,18,67,04:25
